DataValue,ValueAccuracy,LocalDateTime,DateTimeUTC,SiteCode,SiteName,Latitude,Longitude,LatLongDatumID,Elevation_m,VerticalDatum,LocalX,LocalY,LocalProjectionID,PosAccuracy_m,SiteState,County,Comments,MethodDescription,MethodLink,QualifierCode,QualifierDescription,VariableCode,VariableName,Speciation,VariableUnitsID,SampleMedium,ValueType,IsRegular,TimeSupport,TimeUnitsID,DataType,GeneralCategory,NoDataValue,OffsetUnitsID,OffsetDescription,QualityControlLevelCode,Definition,Explanation,Organization,SourceDescription,SourceLink,ContactName,Phone,Email,Address,City,SourceState,ZipCode,Citation,TopicCategory,Title,Abstract,ProfileVersion,MetadataLink,SampleType,LabSampleCode,LabName,LabOrganization,LabMethodName,LabMethodDescription,LabMethodLink,OffsetValue,CensorCode
0,1,5/29/2009 1:00:00 AM, 5/29/2009 5:00:00 AM,1 ,GreenAmpt Infiltration,41.718473,-111.946402,2,0,NGVD29,421276.323,4618952.04,105,,SC,Richland,none,Component Modeling,http://www.campbellsci.com,,,3,Streamflow,Not Applicable,35,Other,Field Observation,1,30,102,Incremental,Hydrology,-9999,,,0,none,none,Universit of South Carolina,Continuous,none,unknown,unknown,unknown,unknown,unknown,unknown,unknown,none,inlandWaters,none,none,none,,,,,,,,,,nc
0,1,5/29/2009 1:10:00 AM, 5/29/2009 5:10:00 AM,1 ,GreenAmpt Infiltration,41.718473,-111.946402,2,0,NGVD29,421276.323,4618952.04,105,,SC,Richland,none,Component Modeling,http://www.campbellsci.com,,,3,Streamflow,Not Applicable,35,Other,Field Observation,1,30,102,Incremental,Hydrology,-9999,,,0,none,none,Universit of South Carolina,Continuous,none,unknown,unknown,unknown,unknown,unknown,unknown,unknown,none,inlandWaters,none,none,none,,,,,,,,,,nc
0,1,5/29/2009 1:20:00 AM, 5/29/2009 5:20:00 AM,1 ,GreenAmpt Infiltration,41.718473,-111.946402,2,0,NGVD29,421276.323,4618952.04,105,,SC,Richland,none,Component Modeling,http://www.campbellsci.com,,,3,Streamflow,Not Applicable,35,Other,Field Observation,1,30,102,Incremental,Hydrology,-9999,,,0,none,none,Universit of South Carolina,Continuous,none,unknown,unknown,unknown,unknown,unknown,unknown,unknown,none,inlandWaters,none,none,none,,,,,,,,,,nc
2.2154262584145,1,5/29/2009 1:30:00 AM, 5/29/2009 5:30:00 AM,1 ,GreenAmpt Infiltration,41.718473,-111.946402,2,0,NGVD29,421276.323,4618952.04,105,,SC,Richland,none,Component Modeling,http://www.campbellsci.com,,,3,Streamflow,Not Applicable,35,Other,Field Observation,1,30,102,Incremental,Hydrology,-9999,,,0,none,none,Universit of South Carolina,Continuous,none,unknown,unknown,unknown,unknown,unknown,unknown,unknown,none,inlandWaters,none,none,none,,,,,,,,,,nc
4.85453454042243,1,5/29/2009 1:40:00 AM, 5/29/2009 5:40:00 AM,1 ,GreenAmpt Infiltration,41.718473,-111.946402,2,0,NGVD29,421276.323,4618952.04,105,,SC,Richland,none,Component Modeling,http://www.campbellsci.com,,,3,Streamflow,Not Applicable,35,Other,Field Observation,1,30,102,Incremental,Hydrology,-9999,,,0,none,none,Universit of South Carolina,Continuous,none,unknown,unknown,unknown,unknown,unknown,unknown,unknown,none,inlandWaters,none,none,none,,,,,,,,,,nc
0,1,5/29/2009 1:50:00 AM, 5/29/2009 5:50:00 AM,1 ,GreenAmpt Infiltration,41.718473,-111.946402,2,0,NGVD29,421276.323,4618952.04,105,,SC,Richland,none,Component Modeling,http://www.campbellsci.com,,,3,Streamflow,Not Applicable,35,Other,Field Observation,1,30,102,Incremental,Hydrology,-9999,,,0,none,none,Universit of South Carolina,Continuous,none,unknown,unknown,unknown,unknown,unknown,unknown,unknown,none,inlandWaters,none,none,none,,,,,,,,,,nc
