SeriesID,SiteName,VariableName,LocalDateTime,DataValue,VarUnits,DataType,SiteID,SiteCode,VariableID,VariableCode,Organization,SourceDescription,SourceLink,ValueType,TimeSupport,TimeUnits,IsRegular,NoDataValue,UTCOffset,DateTimeUTC,Latitude,Longitude,ValueAccuracy,CensorCode,MethodDescription,QualityControlLevelCode,SampleMedium,GeneralCategory
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",10/18/2009 12:00:00 AM,20.6,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,10/18/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",10/19/2009 12:00:00 AM,20.5,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,10/19/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",10/20/2009 12:00:00 AM,21.1,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,10/20/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",10/21/2009 12:00:00 AM,22.4,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,10/21/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",10/22/2009 12:00:00 AM,21.8,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,10/22/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",10/23/2009 12:00:00 AM,19,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,10/23/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",10/24/2009 12:00:00 AM,18.5,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,10/24/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",10/25/2009 12:00:00 AM,19.7,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,10/25/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",10/26/2009 12:00:00 AM,19.4,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,10/26/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",10/27/2009 12:00:00 AM,17.8,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,10/27/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
