Date, Time, element 1,element 2,element 3,element 4,element 5,element 6,element 7,element 8,element 9,element 10,element 11,element 12,element 13,element 14,element 15,
08/20/2009, 09:40 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/20/2009, 09:45 PM,51.2071142186504,49.9906793800102,122.358046821816,199.400289425848,1299.51075988918,218.136779803636,155.458896949061,260.530808839478,602.243528881745,1521.86759527446,669.492422372833,394.642973666931,530.203532461166,553.810725554076,169.612535928031,
08/20/2009, 09:50 PM,151.011149419385,222.87934213776,388.339533497469,1025.75335546407,4356.76815840715,1327.19032251106,580.317414729769,929.826736519568,4684.99552403357,7497.33461050648,2321.84957187874,1675.89667983373,2168.41183377558,2114.78789193784,514.897246126037,
08/20/2009, 09:55 PM,219.453876453192,603.841535429424,803.553986930897,2969.63003326115,8736.50115224267,4099.73502033255,1425.93601382294,2210.89225820773,15256.0226554042,18309.1667877899,3370.42583810873,4407.13275822184,5605.06099595087,5273.31064605557,1058.62723536786,
08/20/2009, 10:00 PM,261.931965783903,1279.67514756971,1446.50805572302,6309.79289052357,11213.7724418421,8865.99040128975,2822.02277634922,3909.24605281363,32305.4838091617,30535.2949002454,3250.10494617242,9090.23136223931,10972.0597351983,9568.6459753927,1846.73284114267,
08/20/2009, 10:05 PM,288.831813555683,2239.1152732695,2196.78784984059,10694.673186222,11781.7773568766,14792.38462584,4601.61420490292,5575.12918085226,50784.4482833737,40877.1886822827,2496.34948939709,15431.5191573273,17360.6994032972,14015.8558419228,2643.42235278392,
08/20/2009, 10:10 PM,305.536183083338,3384.49754589622,2868.28072077976,15432.4886877817,11102.4031001428,20757.0990675202,6546.43569251015,7041.63932716852,66826.1064499655,47766.5840381269,1876.68902377052,22602.1988249825,23836.0663290288,18082.3823915266,3204.48620491894,
08/20/2009, 10:15 PM,316.147964727239,4592.246630412,3385.89574050737,19914.5391034311,9537.39936966589,25996.1508276568,8450.913357378,8176.3143546373,78613.8949674251,51986.6778080934,1564.21765841399,29901.1883895014,29698.7403906729,21420.2810588652,3533.12337714708,
08/20/2009, 10:20 PM,323.13807676025,5758.79240023326,3791.47675238674,23753.7252411237,8639.01406155214,30076.8176424919,10190.6628355862,9012.06987348281,86081.6603307906,54659.017800258,1362.66126878356,36651.5440080762,34633.7608537296,23856.1933239798,3671.86432012782,
08/20/2009, 10:25 PM,327.742076431689,6816.68746394944,4039.09535030293,26739.5709012588,8109.73254451332,32919.0456332328,11698.9441283189,9485.30255134496,91036.4683948491,56336.9519965155,1244.67311907304,42551.9004838314,38289.6895731728,25443.4829240752,3630.06974240079,
08/20/2009, 10:30 PM,330.918238173186,7718.45163935333,4197.05930978579,28898.3225535535,7690.80021001012,34930.1748609402,12917.0010302148,9856.01124014368,94401.4409465901,57384.4466562474,1174.24830746514,47287.2296478478,40943.1153189229,26629.7130657009,3501.73883508485,
08/20/2009, 10:35 PM,333.250587790648,8428.65995704855,4256.97234310439,30479.7318003683,7443.25003999942,36384.1913378781,13800.3700447696,10145.3702000161,96627.5524424816,58039.1150428945,1135.24724410647,50846.8755012198,42917.3281648807,27529.6168949226,3236.26794837663,
08/20/2009, 10:40 PM,335.008776162382,8974.93833260988,4198.41055316911,31661.1331125048,7263.72219392191,37428.858267832,14484.4869889416,10370.4133714177,98100.2614975542,58450.1648043951,1110.62497037308,53563.1287841005,44425.1479431704,28183.9123909576,2958.3577017862,
08/20/2009, 10:45 PM,336.37178502967,9400.40911802613,4158.3342930339,32544.5599680712,7144.16275967324,38172.252577798,15021.4725988097,10525.9836042367,99068.6531924721,58708.0027637384,1099.01886594381,55674.0468912729,45553.699872226,28657.0376428254,2796.10274786389,
08/20/2009, 10:50 PM,337.452025710809,9737.68667136508,4143.16830631214,33199.0928280927,7065.86243704271,38703.4582174853,15453.6406729308,10649.4639248232,99721.3557003018,58871.1171671589,1090.31707940183,57330.3211540417,46395.3966910532,29005.6882184946,2664.57585234274,
08/20/2009, 10:55 PM,338.323802049864,10005.1557123336,4138.51394038249,33687.6749625184,7013.71609073881,39080.8715848686,15792.1296894135,10740.6725232997,100156.973314989,58978.4589262836,1082.33076068093,58618.2987937905,47026.1209959191,29257.6704582907,2581.31840056933,
08/20/2009, 11:00 PM,339.038142918027,10213.5547911092,4142.03776407536,34050.1990574106,6979.30288737733,39350.3447901405,16049.6115695458,10807.8299608563,100444.543011514,59042.9531603109,1076.89601055084,59616.9178089389,47494.8694814746,29441.044663555,2503.04112249428,
08/20/2009, 11:05 PM,339.631172854186,10376.9050579493,4138.96378712212,34318.5734953769,6961.12647251503,39543.6894194453,16255.3712877049,10859.1687504418,100640.700963719,59068.8220277779,1077.61840381562,60391.9029535245,47842.2309813577,29576.6387804895,2431.31577514061,
08/20/2009, 11:10 PM,340.129113278974,10505.7957679699,4130.54898824011,34518.2955617073,6948.48866007569,39681.9329090259,16416.8477517594,10898.0378531728,100778.532185035,59073.9760504395,1078.26951627166,60988.5927566448,48102.45691118,29675.9106682352,2385.30098295012,
