Date,Element 1,Element 2,Element 3,Element 4,Element 5,Element 6,Element 7,Element 8,Element 9,Element 10,Element 11,Element 12,Element 13,Element 14,Element 15,
8/20/2009 11:45:00 PM,0,4142.4003278025,0,14771.5568837802,0,0,58644.8435512568,0,250061.625278524,128495.017860265,0,0,30481.5375885998,0,0,
8/20/2009 11:50:00 PM,0,4433.96564596,0,14688.4566707234,0,0,61895.1500471832,0,255711.662326009,131835.654044354,0,0,30585.0568904851,0,0,
8/20/2009 11:55:00 PM,0,4754.00715796761,0,15066.9763207613,0,0,64730.4609086655,0,261386.454287322,135662.028763396,0,0,30989.9561967767,0,0,
8/21/2009 12:00:00 AM,0,5087.16377259229,0,15923.5821834605,0,0,67084.5398531909,0,267399.857786292,139062.881020721,0,0,31822.2950168002,0,0,
8/21/2009 12:05:00 AM,0,5433.89803588544,0,17164.0788676388,0,0,68961.8220766686,0,273385.404259415,141518.462053793,0,0,33093.1554096974,0,0,
8/21/2009 12:10:00 AM,0,5794.21820130034,0,18475.0394853616,0,0,70484.5375570188,0,278723.669106822,142953.230521921,0,0,34728.0385315248,0,0,
8/21/2009 12:15:00 AM,0,6169.12799149663,0,19701.4819764928,0,0,71717.5225328731,0,283059.881315536,143590.692161,0,0,36602.8781770847,0,0,
8/21/2009 12:20:00 AM,0,6552.57736272949,0,20786.7189467306,0,0,72772.6733894203,0,286342.802150501,143643.652537044,0,0,38545.6420397735,0,0,
8/21/2009 12:25:00 AM,0,6961.32604010466,0,21163.8205487288,0,0,73682.4687911431,0,288773.725904891,143467.830387671,0,0,40494.4478279413,0,0,
8/21/2009 12:30:00 AM,0,7362.02762056447,0,20445.4510959648,0,0,74420.759410375,0,289614.864815155,143514.074154901,0,0,42391.9719849411,0,0,
8/21/2009 12:35:00 AM,0,7687.10066886666,0,18603.8114700987,0,0,74862.9140045552,0,287120.774024552,143084.76452678,0,0,44177.5161196576,0,0,
8/21/2009 12:40:00 AM,0,7960.9401365066,0,16781.6216465959,0,0,74927.8971665565,0,280452.434614242,141838.467512022,0,0,45731.3963179112,0,0,
8/21/2009 12:45:00 AM,0,8210.4537339192,0,15885.2669068609,0,0,74890.4738639362,0,271293.145861438,140502.051478859,0,0,46942.8412082386,0,0,
8/21/2009 12:50:00 AM,0,8449.25968997124,0,16320.4844466843,0,0,75040.2755764872,0,262254.770282677,139986.039601937,0,0,47808.5698877126,0,0,
8/21/2009 12:55:00 AM,0,8684.01061788151,0,18191.571448284,0,0,75616.6707695358,0,255738.794506862,140737.952756149,0,0,48370.3398362513,0,0,
8/21/2009 1:00:00 AM,0,8917.11551902577,0,20932.3353000767,0,0,76816.1586828005,0,252334.929218668,142676.870561271,0,0,48693.0443537169,0,0,
