Simulation Time, PET[mm/day]
05/03/2006: 12:00 AM,2.25239363389814
05/04/2006: 12:00 AM,2.24048155998867
05/05/2006: 12:00 AM,1.47660073548086
05/06/2006: 12:00 AM,2.04814479262082
05/07/2006: 12:00 AM,0.901501668466128
05/08/2006: 12:00 AM,1.48396901047548
05/09/2006: 12:00 AM,1.61647926813427
05/10/2006: 12:00 AM,1.8540328511079
05/11/2006: 12:00 AM,1.37436304667625
05/12/2006: 12:00 AM,1.62179959590426
05/13/2006: 12:00 AM,1.98956010982604
05/14/2006: 12:00 AM,1.52225459210672
05/15/2006: 12:00 AM,1.64113373877097
05/16/2006: 12:00 AM,1.53629853951451
05/17/2006: 12:00 AM,1.87860811623904
05/18/2006: 12:00 AM,2.06430097409814
05/19/2006: 12:00 AM,2.04772827766484
05/20/2006: 12:00 AM,2.29747576353014
05/21/2006: 12:00 AM,1.99551304016468
05/22/2006: 12:00 AM,1.84027328083887
05/23/2006: 12:00 AM,2.46521634679022
05/24/2006: 12:00 AM,2.63747013422622
05/25/2006: 12:00 AM,2.23681302801023
05/26/2006: 12:00 AM,2.20740201278036
05/27/2006: 12:00 AM,2.36864358106232
05/28/2006: 12:00 AM,2.69836920323658
05/29/2006: 12:00 AM,2.60967266577689
05/30/2006: 12:00 AM,2.68700249467355
05/31/2006: 12:00 AM,2.59692915366554
06/01/2006: 12:00 AM,2.41751413922204
06/02/2006: 12:00 AM,2.09546988941441
06/03/2006: 12:00 AM,1.79048676148369
06/04/2006: 12:00 AM,2.28776088226916
06/05/2006: 12:00 AM,1.93475468488491
06/06/2006: 12:00 AM,2.41380082655692
06/07/2006: 12:00 AM,2.49740232927149
06/08/2006: 12:00 AM,2.50233573919382
06/09/2006: 12:00 AM,2.56028853697695
06/10/2006: 12:00 AM,2.85594563667476
06/11/2006: 12:00 AM,2.64407727774855
06/12/2006: 12:00 AM,2.40845851958691
06/13/2006: 12:00 AM,1.68466771122258
06/14/2006: 12:00 AM,2.48119228336427
06/15/2006: 12:00 AM,2.58850414764015
06/16/2006: 12:00 AM,2.51280287299788
06/17/2006: 12:00 AM,2.38564493214945
06/18/2006: 12:00 AM,2.37087289310325
06/19/2006: 12:00 AM,2.57505795986773
06/20/2006: 12:00 AM,2.76986461085173
06/21/2006: 12:00 AM,3.03497454479837
06/22/2006: 12:00 AM,2.9520054669298
06/23/2006: 12:00 AM,2.64200343449073
06/24/2006: 12:00 AM,2.3092562243864
06/25/2006: 12:00 AM,1.48310624549359
06/26/2006: 12:00 AM,1.14959606429218
06/27/2006: 12:00 AM,2.3395281931846
06/28/2006: 12:00 AM,2.58638886991986
06/29/2006: 12:00 AM,2.62780124930183
06/30/2006: 12:00 AM,2.51910858669879
07/01/2006: 12:00 AM,2.76004862543082
07/02/2006: 12:00 AM,2.53967828423503
07/03/2006: 12:00 AM,2.63800621021774
07/04/2006: 12:00 AM,2.71012663074818
07/05/2006: 12:00 AM,2.16568055029315
07/06/2006: 12:00 AM,2.11857080229529
07/07/2006: 12:00 AM,2.04759260943575
07/08/2006: 12:00 AM,2.08993647516577
07/09/2006: 12:00 AM,2.09140473622282
07/10/2006: 12:00 AM,2.43961102252417
07/11/2006: 12:00 AM,2.34485860312668
07/12/2006: 12:00 AM,2.44575892082329
07/13/2006: 12:00 AM,2.56696427095055
07/14/2006: 12:00 AM,2.25589082007613
07/15/2006: 12:00 AM,2.45613565703883
07/16/2006: 12:00 AM,2.49820860623752
07/17/2006: 12:00 AM,2.65926518525693
07/18/2006: 12:00 AM,2.80397496609748
07/19/2006: 12:00 AM,2.7040991178262
07/20/2006: 12:00 AM,2.50137739230343
07/21/2006: 12:00 AM,2.51010561796665
07/22/2006: 12:00 AM,2.32609703055764
07/23/2006: 12:00 AM,1.93442515881891
07/24/2006: 12:00 AM,2.10321671486127
07/25/2006: 12:00 AM,2.02109684457142
07/26/2006: 12:00 AM,2.56519020206793
07/27/2006: 12:00 AM,2.53170398758004
07/28/2006: 12:00 AM,2.45796252478725
07/29/2006: 12:00 AM,1.9266970893266
07/30/2006: 12:00 AM,2.51268841958714
07/31/2006: 12:00 AM,2.67056758939184
08/01/2006: 12:00 AM,2.71597028058584
08/02/2006: 12:00 AM,2.46014727339051
08/03/2006: 12:00 AM,2.56702110579169
08/04/2006: 12:00 AM,2.69253185598991
08/05/2006: 12:00 AM,2.18436839091735
08/06/2006: 12:00 AM,2.22255048604534
08/07/2006: 12:00 AM,2.43272230694151
08/08/2006: 12:00 AM,2.70510137428064
08/09/2006: 12:00 AM,2.49555972738614
08/10/2006: 12:00 AM,2.46601581901074
08/11/2006: 12:00 AM,1.71479924041425
08/12/2006: 12:00 AM,0.930650220778947
08/13/2006: 12:00 AM,2.0092948067251
08/14/2006: 12:00 AM,2.18723124426199
08/15/2006: 12:00 AM,2.11772591003565
08/16/2006: 12:00 AM,1.97330542264674
08/17/2006: 12:00 AM,2.06484162163322
08/18/2006: 12:00 AM,2.26439016099088
08/19/2006: 12:00 AM,2.07552431809579
08/20/2006: 12:00 AM,1.65247726278151
08/21/2006: 12:00 AM,1.93822240658535
08/22/2006: 12:00 AM,2.05115822583589
08/23/2006: 12:00 AM,1.83449379492081
08/24/2006: 12:00 AM,2.03241772709257
08/25/2006: 12:00 AM,1.99712395661739
08/26/2006: 12:00 AM,2.23869529993857
08/27/2006: 12:00 AM,2.26972485511587
08/28/2006: 12:00 AM,1.99797424633938
08/29/2006: 12:00 AM,2.1869185946079
08/30/2006: 12:00 AM,2.11088615849073
08/31/2006: 12:00 AM,0.95092518549285
09/01/2006: 12:00 AM,1.56130617857336
09/02/2006: 12:00 AM,1.18636413559955
09/03/2006: 12:00 AM,1.82270001732682
09/04/2006: 12:00 AM,1.49208513844329
09/05/2006: 12:00 AM,1.0931729292985
09/06/2006: 12:00 AM,1.73994510153626
09/07/2006: 12:00 AM,1.5514221205735
09/08/2006: 12:00 AM,1.59135495899139
09/09/2006: 12:00 AM,1.73136181297636
09/10/2006: 12:00 AM,1.88160839463366
09/11/2006: 12:00 AM,1.45721050091402
09/12/2006: 12:00 AM,1.02601995146229
09/13/2006: 12:00 AM,0.922102947731386
09/14/2006: 12:00 AM,1.47449825860304
09/15/2006: 12:00 AM,1.72518479866584
09/16/2006: 12:00 AM,1.72798246691018
09/17/2006: 12:00 AM,1.68184920482789
09/18/2006: 12:00 AM,1.81101509857691
09/19/2006: 12:00 AM,1.40726487121389
09/20/2006: 12:00 AM,1.48259721068169
09/21/2006: 12:00 AM,1.46649576172562
09/22/2006: 12:00 AM,1.1285287594839
09/23/2006: 12:00 AM,1.44938015187482
09/24/2006: 12:00 AM,1.23392430096441
09/25/2006: 12:00 AM,1.28814375909179
09/26/2006: 12:00 AM,1.32727269851084
09/27/2006: 12:00 AM,1.38095947120647
09/28/2006: 12:00 AM,1.39598299369598
09/29/2006: 12:00 AM,1.19339705480731
09/30/2006: 12:00 AM,1.44198449123667
10/01/2006: 12:00 AM,1.52860669022361
10/02/2006: 12:00 AM,1.53853272564206
10/03/2006: 12:00 AM,1.56570297745479
10/04/2006: 12:00 AM,1.5289396401025
10/05/2006: 12:00 AM,1.57532889130277
10/06/2006: 12:00 AM,1.17503162263837
10/07/2006: 12:00 AM,1.31223278831608
10/08/2006: 12:00 AM,1.14427699987686
10/09/2006: 12:00 AM,1.42013145496753
10/10/2006: 12:00 AM,1.46740590051019
10/11/2006: 12:00 AM,1.09050707074363
10/12/2006: 12:00 AM,1.04852981380575
10/13/2006: 12:00 AM,0.963295928104986
10/14/2006: 12:00 AM,1.10565759836766
10/15/2006: 12:00 AM,1.26398291919515
10/16/2006: 12:00 AM,0.819566792120529
10/17/2006: 12:00 AM,0.818815001715051
10/18/2006: 12:00 AM,1.24560765011738
10/19/2006: 12:00 AM,1.00014485933125
10/20/2006: 12:00 AM,0.63466550935751
10/21/2006: 12:00 AM,1.09092629390404
10/22/2006: 12:00 AM,0.943472743101637
10/23/2006: 12:00 AM,0.563467582590166
10/24/2006: 12:00 AM,0.631132550863525
10/25/2006: 12:00 AM,0.935144134432019
10/26/2006: 12:00 AM,0.955545654852321
10/27/2006: 12:00 AM,0.628086441866991
10/28/2006: 12:00 AM,0.604939380151331
10/29/2006: 12:00 AM,1.06301870290077
10/30/2006: 12:00 AM,1.21838313056082
10/31/2006: 12:00 AM,0.979587129697057
11/01/2006: 12:00 AM,1.09994383613422
11/02/2006: 12:00 AM,0.666917075136355
11/03/2006: 12:00 AM,0.664174594362801
11/04/2006: 12:00 AM,0.754128108648011
11/05/2006: 12:00 AM,0.852355321927833
11/06/2006: 12:00 AM,0.784543782114183
11/07/2006: 12:00 AM,0.683322457969376
11/08/2006: 12:00 AM,0.739129946120512
11/09/2006: 12:00 AM,1.09394192712769
11/10/2006: 12:00 AM,1.21482339387855
11/11/2006: 12:00 AM,0.915900855208104
11/12/2006: 12:00 AM,0.700097008685892
11/13/2006: 12:00 AM,0.986215294781085
11/14/2006: 12:00 AM,0.948154466911221
11/15/2006: 12:00 AM,0.623134338395868
11/16/2006: 12:00 AM,0
11/17/2006: 12:00 AM,0.560320359741539
11/18/2006: 12:00 AM,0.760396351929415
11/19/2006: 12:00 AM,0.537776760484921
11/20/2006: 12:00 AM,0.433543064108764
