Date,Element 1,Element 2,Element 3,Element 4,Element 5,Element 6,Element 7,Element 8,Element 9,Element 10,Element 11,Element 12,Element 13,Element 14,Element 15,
8/21/2009 1:50:00 AM,0,0,0,-6.17719859607949,0,0,5.59105656230884,0,20.7267585951005,28.8320249571874,0,0,26.3235920985648,0,0,
8/21/2009 1:55:00 AM,0,0,0,-7.50631413481098,0,0,6.27259823358035,0,28.0598576387535,28.9012812038365,0,0,25.1885369371401,0,0,
8/21/2009 2:00:00 AM,0,0,0,-5.10066979812514,0,0,6.95292648842721,0,32.068731846941,24.1068199161238,0,0,33.2863595959497,0,0,
8/21/2009 2:05:00 AM,0,0,0,-0.668870090559622,0,0,8.47859184150412,0,31.6779743317325,19.1596180351248,0,0,46.8121398593033,0,0,
8/21/2009 2:10:00 AM,0,0,0,4.22142559575874,0,0,10.5172394398038,0,29.4798408592366,17.6927159149039,0,0,60.7293404322876,0,0,
8/21/2009 2:15:00 AM,0,0,0,7.94131877722963,0,0,13.1579556219001,0,28.5445564999044,20.73420587397,0,0,71.7577379715753,0,0,
8/21/2009 2:20:00 AM,0,0,0,9.81768159008029,0,0,15.511052566889,0,31.0007843001224,27.8390278377175,0,0,77.8465808766873,0,0,
8/21/2009 2:25:00 AM,0,0,0,10.6927646630968,0,0,17.5119132415699,0,37.1035240319997,37.9825773999953,0,0,77.4642492241353,0,0,
8/21/2009 2:30:00 AM,0,0,0,10.886907728647,0,0,18.8232814631394,0,46.4856460893766,48.1415509478465,0,0,72.8684737138971,0,0,
8/21/2009 2:35:00 AM,0,0,0,10.6248511161773,0,0,19.6876165857229,0,57.1029910930576,56.2229005379935,0,0,66.5580476129882,0,0,
8/21/2009 2:40:00 AM,0,0,0,10.1196604099821,0,0,20.1446608413019,0,66.9510233138737,61.7887012635431,0,0,59.5516138133664,0,0,
8/21/2009 2:45:00 AM,0,0,0,9.47878975132314,0,0,20.3405451666608,0,74.8609586769148,64.9299970149046,0,0,52.3904112219528,0,0,
8/21/2009 2:50:00 AM,0,0,0,8.77588593638137,0,0,20.2857640433689,0,80.4195696311151,65.8875407706875,0,0,45.4956461622047,0,0,
8/21/2009 2:55:00 AM,0,0,0,8.05096866894344,0,0,20.0518243149285,0,83.5627731983206,65.0265889020607,0,0,39.111634169273,0,0,
8/21/2009 3:00:00 AM,0,0,0,7.33817497240352,0,0,19.6818753771404,0,84.4947196993568,62.7664752447578,0,0,33.3266557769335,0,0,
8/21/2009 3:05:00 AM,0,0,0,6.65784389992829,0,0,19.2045198600111,0,83.5609598541893,59.4857073674575,0,0,28.1789597922359,0,0,
8/21/2009 3:10:00 AM,0,0,0,6.02676916336317,0,0,18.645080039733,0,81.1433137248846,55.4948977660633,0,0,23.707153891422,0,0,
8/21/2009 3:15:00 AM,0,0,0,5.4464392962695,0,0,18.0284234709569,0,77.5993321476519,51.0958854192653,0,0,19.8592779520616,0,0,
