Date, Time, element 1,element 2,element 3,element 4,element 5,element 6,element 7,element 8,element 9,element 10,element 11,element 12,element 13,element 14,element 15,
08/21/2009, 01:55 AM,0,1.88158916286484,0,0,19.881529218528,0,0,41.1652477877883,3.91801210898618,0,0,0,0,102.315369468673,1.26877614462969,
08/21/2009, 02:00 AM,0,1.85282894184733,0,0,17.2242041541507,0,0,38.9451084800729,2.95323784423965,0,0,0,0,101.099662397771,1.4534161800498,
08/21/2009, 02:05 AM,0,1.70319321901333,0,0,12.5711633154361,0,0,34.0185103190278,1.84369684521709,0,0,0,0,89.3839337540765,1.50169407463331,
08/21/2009, 02:10 AM,0,1.48680067828014,0,0,8.21150611467114,0,0,26.6773905982911,1.21627122610586,0,0,0,0,71.234961868048,1.44575506140532,
08/21/2009, 02:15 AM,0,1.2172269742964,0,0,5.55720952954774,0,0,20.5085396292156,0.830392009507859,0,0,0,0,51.2734957037075,1.30242932825939,
08/21/2009, 02:20 AM,0,0.911606433766072,0,0,3.78160854878124,0,0,14.8551791631657,0.548158298144736,0,0,0,0,36.5975182030204,1.12265152667288,
08/21/2009, 02:25 AM,0,0.70053311507627,0,0,2.54177598756343,0,0,10.9792086083509,0.363061731021586,0,0,0,0,27.0426550644315,0.889781806026386,
08/21/2009, 02:30 AM,0,0.546316115379031,0,0,1.72970866790388,0,0,8.07380360784271,0.23721559620519,0,0,0,0,19.9790534073691,0.674271656466356,
08/21/2009, 02:35 AM,0,0.435675816480304,0,0,1.16439553387539,0,0,6.05025051397307,0.160112131833988,0,0,0,0,14.5866715540017,0.533872819252073,
08/21/2009, 02:40 AM,0,0.342377649196431,0,0,0.785044172640921,0,0,4.44028549519909,0.107041748198208,0,0,0,0,10.6340739066988,0.421808911610309,
08/21/2009, 02:45 AM,0,0.263074282943752,0,0,0.53040591248259,0,0,3.29683214530491,0.0702301155168471,0,0,0,0,7.72261265774803,0.34261893211199,
08/21/2009, 02:50 AM,0,0.207995768482938,0,0,0.35822148817688,0,0,2.45041033246575,0.0473808150180573,0,0,0,0,5.56189215871796,0.272587263185881,
08/21/2009, 02:55 AM,0,0.163893769238736,0,0,0.246514795494515,0,0,1.80810213566225,0.0341245973626,0,0,0,0,4.01032547322738,0.212527839004864,
08/21/2009, 03:00 AM,0,0.127417636541489,0,0,0.174427174400796,0,0,1.32742647921151,0.0210552923760847,0,0,0,0,2.94292472936646,0.170272839311456,
08/21/2009, 03:05 AM,0,0.097903466444209,0,0,0.116278289633086,0,0,0.968586526200558,0.0100084443298703,0,0,0,0,2.15217322548748,0.135615298844959,
08/21/2009, 03:10 AM,0,0.0765377794372972,0,0,0.0630351866757835,0,0,0.693400407655189,0,0,0,0,0,1.56620255301352,0.106653439914846,
08/21/2009, 03:15 AM,0,0.0594400671233317,0,0,0.0193299470399918,0,0,0.511938402685873,0,0,0,0,0,1.16000438710302,0.0836114821132943,
08/21/2009, 03:20 AM,0,0.0452347445216203,0,0,0,0,0,0.388354559628611,0,0,0,0,0,0.892019664504409,0.0671026772713609,
08/21/2009, 03:25 AM,0,0.0350381892990782,0,0,0,0,0,0.28858732528145,0,0,0,0,0,0.66024168273362,0.0533915350159286,
08/21/2009, 03:30 AM,0,0.0271926475841032,0,0,0,0,0,0.208649457995869,0,0,0,0,0,0.445133036378536,0.0421533915935916,
08/21/2009, 03:35 AM,0,0.0215543182716079,0,0,0,0,0,0.131649272078533,0,0,0,0,0,0.247550864303537,0.0336975752985651,
08/21/2009, 03:40 AM,0,0.0174118722461011,0,0,0,0,0,0.0583325917843752,0,0,0,0,0,0.0565730325434659,0.02671400138617,
08/21/2009, 03:45 AM,0,0.0142736555601111,0,0,0,0,0,0.0288467307839303,0,0,0,0,0,0,0.0210227449249603,
08/21/2009, 03:50 AM,0,0.0111354388741211,0,0,0,0,0,0.00110948964553569,0,0,0,0,0,0,0.0168540713627418,
08/21/2009, 03:55 AM,0,0.00810705977214079,0,0,0,0,0,0,0,0,0,0,0,0,0.0140981486884743,
08/21/2009, 04:00 AM,0,0.00549187920048246,0,0,0,0,0,0,0,0,0,0,0,0,0.0115270189743123,
08/21/2009, 04:05 AM,0,0.00287669862882414,0,0,0,0,0,0,0,0,0,0,0,0,0.00896804891048415,
08/21/2009, 04:10 AM,0,0.000261518057165824,0,0,0,0,0,0,0,0,0,0,0,0,0.00657570135685038,
08/21/2009, 04:15 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00443309326171534,
08/21/2009, 04:20 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00229048516658029,
08/21/2009, 04:25 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000288739000164811,
08/21/2009, 04:30 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 04:35 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 04:40 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 04:45 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 04:50 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 04:55 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 05:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 05:05 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 05:10 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 05:15 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 05:20 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 05:25 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 05:30 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 05:35 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 05:40 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 05:45 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 05:50 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 05:55 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 06:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 06:05 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 06:10 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 06:15 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 06:20 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 06:25 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/21/2009, 06:30 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
